# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
    7943 4.374e-04 4.536e-04 4.460e-04 3.906e-06
   10000 5.667e-04 5.872e-04 5.772e-04 4.946e-06
   12589 7.339e-04 7.587e-04 7.470e-04 5.830e-06
   15849 9.480e-04 9.790e-04 9.645e-04 7.673e-06
   19953 1.225e-03 1.264e-03 1.246e-03 9.671e-06
   25119 1.582e-03 1.632e-03 1.609e-03 1.164e-05
   31623 2.040e-03 2.110e-03 2.076e-03 1.669e-05
   39811 2.634e-03 2.715e-03 2.676e-03 1.967e-05
   50119 3.392e-03 3.497e-03 3.448e-03 2.457e-05
   63096 4.380e-03 4.497e-03 4.443e-03 2.864e-05
   79433 5.624e-03 5.790e-03 5.718e-03 3.812e-05
  100000 7.258e-03 7.453e-03 7.357e-03 4.805e-05
  125893 9.324e-03 9.566e-03 9.461e-03 5.993e-05
  158489 1.199e-02 1.230e-02 1.216e-02 7.579e-05
  199526 1.541e-02 1.581e-02 1.563e-02 9.556e-05
  251189 1.982e-02 2.032e-02 2.009e-02 1.201e-04
  316228 2.545e-02 2.609e-02 2.579e-02 1.530e-04
  398107 3.270e-02 3.466e-02 3.321e-02 3.168e-04
  501187 4.189e-02 4.291e-02 4.246e-02 2.405e-04
  630957 5.374e-02 5.503e-02 5.444e-02 3.014e-04
  794328 6.896e-02 7.054e-02 6.980e-02 3.719e-04
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.010e-07 6.560e-07 6.216e-07 1.121e-08
      13 6.360e-07 6.840e-07 6.574e-07 1.164e-08
      16 6.730e-07 7.310e-07 6.984e-07 1.316e-08
      20 7.270e-07 7.940e-07 7.551e-07 1.516e-08
      25 8.010e-07 8.780e-07 8.342e-07 1.881e-08
      32 9.110e-07 1.017e-06 9.583e-07 2.495e-08
      40 1.150e-06 1.280e-06 1.208e-06 2.975e-08
      50 1.348e-06 1.491e-06 1.415e-06 3.354e-08
      63 1.613e-06 1.779e-06 1.692e-06 3.913e-08
      79 2.086e-06 2.285e-06 2.183e-06 4.705e-08
     100 2.700e-06 2.940e-06 2.810e-06 5.699e-08
     126 3.395e-06 3.728e-06 3.547e-06 7.589e-08
     158 4.504e-06 4.832e-06 4.656e-06 8.011e-08
     200 5.926e-06 6.295e-06 6.100e-06 8.941e-08
     251 7.515e-06 7.982e-06 7.730e-06 1.091e-07
     316 1.014e-05 1.071e-05 1.040e-05 1.361e-07
     398 1.335e-05 1.397e-05 1.365e-05 1.471e-07
     501 1.703e-05 1.780e-05 1.741e-05 1.838e-07
     631 2.277e-05 2.368e-05 2.318e-05 2.121e-07
     794 3.001e-05 3.105e-05 3.048e-05 2.363e-07
    1000 3.846e-05 3.961e-05 3.899e-05 2.741e-07
    1259 5.086e-05 5.232e-05 5.153e-05 3.236e-07
    1585 6.724e-05 6.892e-05 6.797e-05 3.851e-07
    1995 8.603e-05 8.801e-05 8.688e-05 4.573e-07
    2512 1.129e-04 1.152e-04 1.139e-04 5.384e-07
    3162 1.492e-04 1.520e-04 1.504e-04 6.028e-07
    3981 1.909e-04 1.941e-04 1.922e-04 6.750e-07
    5012 2.480e-04 2.520e-04 2.496e-04 8.958e-07
    6310 3.285e-04 3.324e-04 3.302e-04 8.909e-07
    7943 4.197e-04 4.247e-04 4.217e-04 1.148e-06
   10000 5.419e-04 5.473e-04 5.443e-04 1.267e-06
   12589 7.166e-04 7.227e-04 7.194e-04 1.399e-06
   15849 9.144e-04 9.220e-04 9.177e-04 1.748e-06
   19953 1.174e-03 1.184e-03 1.178e-03 2.179e-06
   25119 1.552e-03 1.561e-03 1.556e-03 2.182e-06
   31623 1.981e-03 1.995e-03 1.986e-03 2.851e-06
   39811 2.538e-03 2.553e-03 2.544e-03 3.350e-06
   50119 3.345e-03 3.360e-03 3.352e-03 3.259e-06
   63096 4.261e-03 4.279e-03 4.269e-03 3.939e-06
   79433 5.455e-03 5.478e-03 5.464e-03 4.917e-06
  100000 7.165e-03 7.188e-03 7.175e-03 4.782e-06
  125893 9.117e-03 9.145e-03 9.129e-03 6.014e-06
  158489 1.166e-02 1.171e-02 1.168e-02 9.341e-06
  199526 1.528e-02 1.533e-02 1.529e-02 9.419e-06
  251189 1.945e-02 1.951e-02 1.947e-02 1.132e-05
  316228 2.482e-02 2.490e-02 2.485e-02 1.500e-05
  398107 3.245e-02 3.478e-02 3.264e-02 3.966e-04
  501187 4.124e-02 4.135e-02 4.127e-02 2.147e-05
  630957 5.266e-02 5.279e-02 5.271e-02 2.859e-05
  794328 6.873e-02 6.892e-02 6.879e-02 3.739e-05
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.490e-07 7.790e-07 6.905e-07 2.177e-08
      13 7.330e-07 8.380e-07 7.794e-07 2.370e-08
      16 8.280e-07 9.340e-07 8.783e-07 2.549e-08
      20 9.610e-07 1.089e-06 1.019e-06 2.961e-08
      25 1.135e-06 1.282e-06 1.205e-06 3.512e-08
      32 1.412e-06 1.870e-06 1.553e-06 1.149e-07
      40 1.732e-06 1.934e-06 1.828e-06 4.753e-08
      50 2.150e-06 2.397e-06 2.271e-06 5.459e-08
      63 2.756e-06 3.025e-06 2.885e-06 6.446e-08
      79 3.517e-06 4.616e-06 3.782e-06 2.556e-07
     100 4.574e-06 4.955e-06 4.758e-06 8.866e-08
     126 5.974e-06 6.419e-06 6.189e-06 1.044e-07
     158 7.735e-06 8.221e-06 7.978e-06 1.146e-07
     200 1.021e-05 1.247e-05 1.054e-05 2.955e-07
     251 1.332e-05 1.565e-05 1.366e-05 2.415e-07
     316 1.729e-05 1.803e-05 1.764e-05 1.722e-07
     398 2.257e-05 2.363e-05 2.300e-05 2.187e-07
     501 2.953e-05 3.069e-05 3.001e-05 2.442e-07
     631 3.840e-05 3.981e-05 3.897e-05 2.996e-07
     794 4.995e-05 5.145e-05 5.060e-05 3.317e-07
    1000 6.517e-05 6.690e-05 6.591e-05 3.793e-07
    1259 8.451e-05 8.644e-05 8.530e-05 4.181e-07
    1585 1.095e-04 1.119e-04 1.105e-04 5.084e-07
    1995 1.423e-04 1.451e-04 1.435e-04 5.989e-07
    2512 1.840e-04 1.872e-04 1.853e-04 6.825e-07
    3162 2.381e-04 2.417e-04 2.396e-04 7.954e-07
    3981 3.084e-04 3.125e-04 3.102e-04 9.216e-07
    5012 3.980e-04 4.027e-04 4.001e-04 1.021e-06
    6310 5.143e-04 5.194e-04 5.167e-04 1.171e-06
    7943 6.654e-04 6.715e-04 6.681e-04 1.397e-06
   10000 8.595e-04 8.664e-04 8.626e-04 1.595e-06
   12589 1.112e-03 1.119e-03 1.115e-03 1.830e-06
   15849 1.439e-03 1.448e-03 1.443e-03 2.025e-06
   19953 1.857e-03 1.871e-03 1.863e-03 2.769e-06
   25119 2.398e-03 2.410e-03 2.404e-03 2.632e-06
   31623 3.103e-03 3.118e-03 3.110e-03 3.256e-06
   39811 4.003e-03 4.022e-03 4.010e-03 3.815e-06
   50119 5.166e-03 5.187e-03 5.175e-03 4.390e-06
   63096 6.682e-03 6.703e-03 6.692e-03 4.674e-06
   79433 8.625e-03 8.648e-03 8.636e-03 5.088e-06
  100000 1.116e-02 1.119e-02 1.118e-02 6.852e-06
  125893 1.448e-02 1.452e-02 1.450e-02 8.107e-06
  158489 1.876e-02 1.881e-02 1.877e-02 1.007e-05
  199526 2.430e-02 2.435e-02 2.432e-02 1.059e-05
  251189 3.151e-02 3.157e-02 3.153e-02 1.196e-05
  316228 4.073e-02 4.081e-02 4.076e-02 1.538e-05
  398107 5.275e-02 5.282e-02 5.278e-02 1.656e-05
  501187 6.823e-02 6.832e-02 6.826e-02 1.896e-05
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.010e-07 7.380e-07 6.093e-07 2.066e-08
      13 6.280e-07 6.420e-07 6.343e-07 3.163e-09
      16 6.640e-07 6.790e-07 6.714e-07 3.679e-09
      20 7.260e-07 7.500e-07 7.375e-07 5.780e-09
      25 8.340e-07 8.700e-07 8.502e-07 8.572e-09
      32 1.026e-06 1.079e-06 1.051e-06 1.279e-08
      40 1.299e-06 1.387e-06 1.338e-06 2.029e-08
      50 1.729e-06 1.856e-06 1.785e-06 2.936e-08
      63 2.416e-06 2.621e-06 2.513e-06 4.765e-08
      79 3.488e-06 3.788e-06 3.629e-06 7.041e-08
     100 5.247e-06 5.766e-06 5.482e-06 1.148e-07
     126 7.968e-06 8.739e-06 8.325e-06 1.752e-07
     158 1.219e-05 1.324e-05 1.269e-05 2.470e-07
     200 1.918e-05 2.070e-05 1.990e-05 3.568e-07
     251 2.984e-05 3.195e-05 3.085e-05 5.128e-07
     316 4.746e-05 5.079e-05 4.903e-05 7.667e-07
     398 7.507e-05 7.942e-05 7.716e-05 1.051e-06
     501 1.180e-04 1.249e-04 1.213e-04 1.572e-06
     631 1.870e-04 1.964e-04 1.916e-04 2.244e-06
     794 2.958e-04 3.092e-04 3.023e-04 3.083e-06
    1000 4.694e-04 4.887e-04 4.784e-04 4.550e-06
    1259 7.472e-04 7.733e-04 7.605e-04 6.284e-06
    1585 1.190e-03 1.227e-03 1.208e-03 8.935e-06
    1995 1.888e-03 1.946e-03 1.915e-03 1.411e-05
    2512 2.996e-03 3.081e-03 3.034e-03 1.967e-05
    3162 4.745e-03 4.860e-03 4.800e-03 2.685e-05
    3981 7.515e-03 7.681e-03 7.594e-03 3.764e-05
    5012 1.190e-02 1.213e-02 1.201e-02 5.328e-05
    6310 1.886e-02 1.918e-02 1.903e-02 7.485e-05
    7943 2.991e-02 3.035e-02 3.012e-02 1.020e-04
   10000 4.741e-02 4.805e-02 4.772e-02 1.459e-04
   12589 7.517e-02 7.604e-02 7.561e-02 2.075e-04
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.310e-07 6.730e-07 6.464e-07 8.290e-09
      13 7.150e-07 7.510e-07 7.322e-07 8.213e-09
      16 8.180e-07 8.570e-07 8.370e-07 9.208e-09
      20 9.920e-07 1.036e-06 1.014e-06 1.006e-08
      25 1.261e-06 1.306e-06 1.283e-06 1.006e-08
      32 1.725e-06 1.790e-06 1.757e-06 1.278e-08
      40 2.377e-06 2.471e-06 2.439e-06 1.617e-08
      50 3.405e-06 3.537e-06 3.496e-06 2.662e-08
      63 5.035e-06 5.322e-06 5.213e-06 5.531e-08
      79 7.600e-06 7.977e-06 7.844e-06 9.193e-08
     100 1.183e-05 1.242e-05 1.218e-05 1.398e-07
     126 1.842e-05 1.929e-05 1.892e-05 2.058e-07
     158 2.866e-05 2.986e-05 2.931e-05 2.927e-07
     200 4.571e-05 4.729e-05 4.651e-05 3.749e-07
     251 7.182e-05 7.394e-05 7.289e-05 4.822e-07
     316 1.140e-04 1.166e-04 1.153e-04 5.886e-07
     398 1.811e-04 1.844e-04 1.826e-04 7.627e-07
     501 2.879e-04 2.920e-04 2.897e-04 9.524e-07
     631 4.580e-04 4.630e-04 4.602e-04 1.168e-06
     794 7.275e-04 7.334e-04 7.300e-04 1.324e-06
    1000 1.157e-03 1.164e-03 1.160e-03 1.569e-06
    1259 1.840e-03 1.849e-03 1.844e-03 1.988e-06
    1585 2.924e-03 2.936e-03 2.928e-03 2.504e-06
    1995 4.643e-03 4.655e-03 4.647e-03 2.581e-06
    2512 7.375e-03 7.389e-03 7.379e-03 2.631e-06
    3162 1.170e-02 1.171e-02 1.171e-02 2.349e-06
    3981 1.858e-02 1.859e-02 1.858e-02 3.009e-06
    5012 2.948e-02 2.950e-02 2.949e-02 2.940e-06
    6310 4.678e-02 4.679e-02 4.678e-02 3.543e-06
    7943 7.418e-02 7.420e-02 7.419e-02 4.854e-06
#------- --------- --------- --------- ---------


